
Ellipticity (oblate)
 ==================== 
Ellipticity (oblate),Unit,Category,Time,ID,
0.533865,,Surface,1,0,
0.681735,,Surface,1,1,
0.577869,,Surface,1,2,
0.171907,,Surface,1,3,
0.389596,,Surface,1,4,
0.876423,,Surface,1,5,
0.595906,,Surface,1,6,
0.414077,,Surface,1,7,
0.212167,,Surface,1,8,
0.619273,,Surface,1,9,
0.727965,,Surface,1,10,
0.58644,,Surface,1,11,
0.418404,,Surface,1,12,
0.585265,,Surface,1,13,
0.67659,,Surface,1,14,
0.225372,,Surface,1,15,
0.462836,,Surface,1,16,
0.743066,,Surface,1,17,
0.800311,,Surface,1,18,
0.127867,,Surface,1,19,
