
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,ID,
2.54581,um,Surface,Image 1,1,0,
33.6984,um,Surface,Image 1,1,1,
0,um,Surface,Image 1,1,2,
0,um,Surface,Image 1,1,3,
15.6758,um,Surface,Image 1,1,4,
51.2324,um,Surface,Image 1,1,5,
89.8416,um,Surface,Image 1,1,6,
0,um,Surface,Image 1,1,7,
113.138,um,Surface,Image 1,1,8,
60.0771,um,Surface,Image 1,1,9,
129.92,um,Surface,Image 1,1,10,
35.4045,um,Surface,Image 1,1,11,
63.3017,um,Surface,Image 1,1,12,
55.5703,um,Surface,Image 1,1,13,
43.1102,um,Surface,Image 1,1,14,
70.8472,um,Surface,Image 1,1,15,
54.9333,um,Surface,Image 1,1,16,
0,um,Surface,Image 1,1,17,
4.46169,um,Surface,Image 1,1,18,
0,um,Surface,Image 1,1,19,
