
Ellipticity (oblate)
 ==================== 
Ellipticity (oblate),Unit,Category,Time,ID,
0.384896,,Surface,1,0,
0.644733,,Surface,1,1,
0.599993,,Surface,1,2,
0.744928,,Surface,1,3,
0.250899,,Surface,1,4,
0.58026,,Surface,1,5,
0.554998,,Surface,1,6,
0.791858,,Surface,1,7,
0.560559,,Surface,1,8,
0.505613,,Surface,1,9,
0.628011,,Surface,1,10,
0.729473,,Surface,1,11,
0.636063,,Surface,1,12,
0.570082,,Surface,1,13,
0.416737,,Surface,1,14,
0.733052,,Surface,1,15,
0.73403,,Surface,1,16,
0.655702,,Surface,1,17,
0.242183,,Surface,1,18,
0.512608,,Surface,1,19,
0.567034,,Surface,1,20,
