
Shortest Distance to Surfaces Surfaces=Surfaces 2
 ==================== 
Shortest Distance to Surfaces,Unit,Category,Surfaces,Time,ID,
8.83346,,Surface,Surfaces 2,1,0,
0.714184,,Surface,Surfaces 2,1,1,
2.01917,,Surface,Surfaces 2,1,2,
4.00125,,Surface,Surfaces 2,1,3,
0.108216,,Surface,Surfaces 2,1,4,
0.339397,,Surface,Surfaces 2,1,5,
3.52648,,Surface,Surfaces 2,1,6,
0,,Surface,Surfaces 2,1,7,
8.40989,,Surface,Surfaces 2,1,8,
0,,Surface,Surfaces 2,1,9,
0,,Surface,Surfaces 2,1,10,
1.10734,,Surface,Surfaces 2,1,11,
0,,Surface,Surfaces 2,1,12,
0,,Surface,Surfaces 2,1,13,
0.518223,,Surface,Surfaces 2,1,14,
0,,Surface,Surfaces 2,1,15,
0,,Surface,Surfaces 2,1,16,
5.44398,,Surface,Surfaces 2,1,17,
0,,Surface,Surfaces 2,1,18,
1.34291,,Surface,Surfaces 2,1,19,
0.644648,,Surface,Surfaces 2,1,20,
