
Sphericity
 ==================== 
Sphericity,Unit,Category,Time,ID,
0.396702,,Surface,1,0,
0.595056,,Surface,1,1,
0.50978,,Surface,1,2,
0.47149,,Surface,1,3,
0.592139,,Surface,1,4,
0.500122,,Surface,1,5,
0.494332,,Surface,1,6,
0.338963,,Surface,1,7,
0.473113,,Surface,1,8,
0.50554,,Surface,1,9,
0.414114,,Surface,1,10,
0.479268,,Surface,1,11,
0.50434,,Surface,1,12,
0.330829,,Surface,1,13,
0.528523,,Surface,1,14,
0.407528,,Surface,1,15,
0.392017,,Surface,1,16,
0.548851,,Surface,1,17,
0.36756,,Surface,1,18,
0.364252,,Surface,1,19,
0.320744,,Surface,1,20,
