
Intensity Sum Ch=7 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,ID,
0,,Surface,7,Image 1,1,0,
0,,Surface,7,Image 1,1,1,
0,,Surface,7,Image 1,1,2,
0,,Surface,7,Image 1,1,3,
0,,Surface,7,Image 1,1,4,
0,,Surface,7,Image 1,1,5,
0,,Surface,7,Image 1,1,6,
5.8882e+06,,Surface,7,Image 1,1,7,
0,,Surface,7,Image 1,1,8,
0,,Surface,7,Image 1,1,9,
3.92641e+06,,Surface,7,Image 1,1,10,
0,,Surface,7,Image 1,1,11,
879745,,Surface,7,Image 1,1,12,
3.05784e+07,,Surface,7,Image 1,1,13,
0,,Surface,7,Image 1,1,14,
2.44873e+06,,Surface,7,Image 1,1,15,
10493,,Surface,7,Image 1,1,16,
0,,Surface,7,Image 1,1,17,
10187,,Surface,7,Image 1,1,18,
711935,,Surface,7,Image 1,1,19,
0,,Surface,7,Image 1,1,20,
