
Intensity Mean Ch=3 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
3543.33,,Surface,3,Image 1,1,0,
5693.61,,Surface,3,Image 1,1,1,
6105.48,,Surface,3,Image 1,1,2,
6048.49,,Surface,3,Image 1,1,3,
5049.79,,Surface,3,Image 1,1,4,
5218.19,,Surface,3,Image 1,1,5,
3938,,Surface,3,Image 1,1,6,
4360.33,,Surface,3,Image 1,1,7,
4296.47,,Surface,3,Image 1,1,8,
4489.2,,Surface,3,Image 1,1,9,
3954.12,,Surface,3,Image 1,1,10,
3940.11,,Surface,3,Image 1,1,11,
5120.96,,Surface,3,Image 1,1,12,
5702.98,,Surface,3,Image 1,1,13,
3973.44,,Surface,3,Image 1,1,14,
11626.1,,Surface,3,Image 1,1,15,
5774.96,,Surface,3,Image 1,1,16,
5820.93,,Surface,3,Image 1,1,17,
4853.57,,Surface,3,Image 1,1,18,
6600.1,,Surface,3,Image 1,1,19,
5567.63,,Surface,3,Image 1,1,20,
