
Area
 ==================== 
Area,Unit,Category,Time,ID,
4461.79,um^2,Surface,1,0,
1084.05,um^2,Surface,1,1,
1742.81,um^2,Surface,1,2,
2369.4,um^2,Surface,1,3,
1822.08,um^2,Surface,1,4,
2205.31,um^2,Surface,1,5,
1412.12,um^2,Surface,1,6,
8181.5,um^2,Surface,1,7,
1321.48,um^2,Surface,1,8,
1107.82,um^2,Surface,1,9,
6847.93,um^2,Surface,1,10,
1123.58,um^2,Surface,1,11,
3150.22,um^2,Surface,1,12,
12004.8,um^2,Surface,1,13,
1809.54,um^2,Surface,1,14,
1477.81,um^2,Surface,1,15,
2519.74,um^2,Surface,1,16,
1750.26,um^2,Surface,1,17,
4775.78,um^2,Surface,1,18,
4306.13,um^2,Surface,1,19,
4868.67,um^2,Surface,1,20,
