
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,ID,
460.672,um,Surface,Distance from Origin,1,0,
394.739,um,Surface,Distance from Origin,1,1,
373.15,um,Surface,Distance from Origin,1,2,
366.078,um,Surface,Distance from Origin,1,3,
385.598,um,Surface,Distance from Origin,1,4,
301.15,um,Surface,Distance from Origin,1,5,
289.764,um,Surface,Distance from Origin,1,6,
346.707,um,Surface,Distance from Origin,1,7,
341.755,um,Surface,Distance from Origin,1,8,
267.969,um,Surface,Distance from Origin,1,9,
250.077,um,Surface,Distance from Origin,1,10,
226.885,um,Surface,Distance from Origin,1,11,
290.885,um,Surface,Distance from Origin,1,12,
270.935,um,Surface,Distance from Origin,1,13,
261.86,um,Surface,Distance from Origin,1,14,
210.789,um,Surface,Distance from Origin,1,15,
183.224,um,Surface,Distance from Origin,1,16,
155.993,um,Surface,Distance from Origin,1,17,
145.144,um,Surface,Distance from Origin,1,18,
30.1727,um,Surface,Distance from Origin,1,19,
66.68,um,Surface,Distance from Origin,1,20,
