
Intensity Min Ch=4 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
4506,,Surface,4,Image 1,1,0,
5488,,Surface,4,Image 1,1,1,
4987,,Surface,4,Image 1,1,2,
4355,,Surface,4,Image 1,1,3,
4700,,Surface,4,Image 1,1,4,
4834,,Surface,4,Image 1,1,5,
4146,,Surface,4,Image 1,1,6,
5439,,Surface,4,Image 1,1,7,
3821,,Surface,4,Image 1,1,8,
4652,,Surface,4,Image 1,1,9,
5158,,Surface,4,Image 1,1,10,
3752,,Surface,4,Image 1,1,11,
4913,,Surface,4,Image 1,1,12,
4885,,Surface,4,Image 1,1,13,
