
Intensity Mean Ch=1 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
2218.79,,Surface,1,Image 1,1,0,
3858.97,,Surface,1,Image 1,1,1,
2562.3,,Surface,1,Image 1,1,2,
2186.28,,Surface,1,Image 1,1,3,
2656.05,,Surface,1,Image 1,1,4,
1652.8,,Surface,1,Image 1,1,5,
2978.63,,Surface,1,Image 1,1,6,
2179.71,,Surface,1,Image 1,1,7,
2391.5,,Surface,1,Image 1,1,8,
3052.74,,Surface,1,Image 1,1,9,
3843.89,,Surface,1,Image 1,1,10,
3328.15,,Surface,1,Image 1,1,11,
3269.82,,Surface,1,Image 1,1,12,
2908.39,,Surface,1,Image 1,1,13,
