
Intensity Mean Ch=8 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
3.49051,,Surface,8,Image 1,1,0,
71.6287,,Surface,8,Image 1,1,1,
121.355,,Surface,8,Image 1,1,2,
0,,Surface,8,Image 1,1,3,
57.6658,,Surface,8,Image 1,1,4,
0,,Surface,8,Image 1,1,5,
14.0201,,Surface,8,Image 1,1,6,
0,,Surface,8,Image 1,1,7,
20.8266,,Surface,8,Image 1,1,8,
0,,Surface,8,Image 1,1,9,
20.8857,,Surface,8,Image 1,1,10,
191.335,,Surface,8,Image 1,1,11,
128.741,,Surface,8,Image 1,1,12,
5.41829,,Surface,8,Image 1,1,13,
