
Intensity StdDev Ch=5 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
1045.74,,Surface,5,Image 1,1,0,
1337.56,,Surface,5,Image 1,1,1,
1699.87,,Surface,5,Image 1,1,2,
1002.98,,Surface,5,Image 1,1,3,
1873.09,,Surface,5,Image 1,1,4,
1417.77,,Surface,5,Image 1,1,5,
1464.95,,Surface,5,Image 1,1,6,
451.875,,Surface,5,Image 1,1,7,
1355.44,,Surface,5,Image 1,1,8,
1533.13,,Surface,5,Image 1,1,9,
1836.34,,Surface,5,Image 1,1,10,
1912.46,,Surface,5,Image 1,1,11,
1733.56,,Surface,5,Image 1,1,12,
1880.09,,Surface,5,Image 1,1,13,
