
Intensity Mean Ch=4 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
20016.5,,Surface,4,Image 1,1,0,
20437.5,,Surface,4,Image 1,1,1,
21171.8,,Surface,4,Image 1,1,2,
20155,,Surface,4,Image 1,1,3,
20568.7,,Surface,4,Image 1,1,4,
15365.8,,Surface,4,Image 1,1,5,
17137.7,,Surface,4,Image 1,1,6,
16267,,Surface,4,Image 1,1,7,
15090.8,,Surface,4,Image 1,1,8,
14676.2,,Surface,4,Image 1,1,9,
11905.7,,Surface,4,Image 1,1,10,
21300.2,,Surface,4,Image 1,1,11,
20896.8,,Surface,4,Image 1,1,12,
23951.6,,Surface,4,Image 1,1,13,
