
Shortest Distance to Surfaces Surfaces=Surfaces 1
 ==================== 
Shortest Distance to Surfaces,Unit,Category,Surfaces,Time,ID,
0,um,Surface,Surfaces 1,1,0,
0,um,Surface,Surfaces 1,1,1,
0,um,Surface,Surfaces 1,1,2,
0,um,Surface,Surfaces 1,1,3,
0,um,Surface,Surfaces 1,1,4,
0,um,Surface,Surfaces 1,1,5,
2.0954,um,Surface,Surfaces 1,1,6,
0,um,Surface,Surfaces 1,1,7,
0,um,Surface,Surfaces 1,1,8,
0.212075,um,Surface,Surfaces 1,1,9,
0,um,Surface,Surfaces 1,1,10,
0,um,Surface,Surfaces 1,1,11,
0,um,Surface,Surfaces 1,1,12,
2.89378,um,Surface,Surfaces 1,1,13,
