
Intensity Mean Ch=8 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
146.632,,Surface,8,Image 1,1,0,
0.151531,,Surface,8,Image 1,1,1,
36.4809,,Surface,8,Image 1,1,2,
0,,Surface,8,Image 1,1,3,
68.4552,,Surface,8,Image 1,1,4,
94.4646,,Surface,8,Image 1,1,5,
0,,Surface,8,Image 1,1,6,
12.0222,,Surface,8,Image 1,1,7,
2363.42,,Surface,8,Image 1,1,8,
49.921,,Surface,8,Image 1,1,9,
251.664,,Surface,8,Image 1,1,10,
673.995,,Surface,8,Image 1,1,11,
25.6067,,Surface,8,Image 1,1,12,
0,,Surface,8,Image 1,1,13,
