
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,ID,
7.81204,um,Surface,Image 1,1,0,
0,um,Surface,Image 1,1,1,
48.2179,um,Surface,Image 1,1,2,
0,um,Surface,Image 1,1,3,
69.3387,um,Surface,Image 1,1,4,
35.0131,um,Surface,Image 1,1,5,
0,um,Surface,Image 1,1,6,
36.0384,um,Surface,Image 1,1,7,
137.302,um,Surface,Image 1,1,8,
81.345,um,Surface,Image 1,1,9,
118.089,um,Surface,Image 1,1,10,
57.6145,um,Surface,Image 1,1,11,
43.3494,um,Surface,Image 1,1,12,
23.0911,um,Surface,Image 1,1,13,
