
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,ID,
422.931,um,Surface,Distance from Origin,1,0,
394.562,um,Surface,Distance from Origin,1,1,
329.636,um,Surface,Distance from Origin,1,2,
355.778,um,Surface,Distance from Origin,1,3,
333.311,um,Surface,Distance from Origin,1,4,
319.108,um,Surface,Distance from Origin,1,5,
351.872,um,Surface,Distance from Origin,1,6,
315.515,um,Surface,Distance from Origin,1,7,
262.983,um,Surface,Distance from Origin,1,8,
275.524,um,Surface,Distance from Origin,1,9,
213.642,um,Surface,Distance from Origin,1,10,
204.183,um,Surface,Distance from Origin,1,11,
191.542,um,Surface,Distance from Origin,1,12,
162.135,um,Surface,Distance from Origin,1,13,
