
Intensity Mean Ch=5 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
1171.27,,Surface,5,Image 1,1,0,
908.267,,Surface,5,Image 1,1,1,
272.708,,Surface,5,Image 1,1,2,
394.154,,Surface,5,Image 1,1,3,
1049.8,,Surface,5,Image 1,1,4,
199.219,,Surface,5,Image 1,1,5,
316.505,,Surface,5,Image 1,1,6,
688.25,,Surface,5,Image 1,1,7,
1976.6,,Surface,5,Image 1,1,8,
513.522,,Surface,5,Image 1,1,9,
541.104,,Surface,5,Image 1,1,10,
1272.21,,Surface,5,Image 1,1,11,
448.761,,Surface,5,Image 1,1,12,
275.118,,Surface,5,Image 1,1,13,
