
Intensity StdDev Ch=4 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
5949.81,,Surface,4,Image 1,1,0,
17028.3,,Surface,4,Image 1,1,1,
14757.7,,Surface,4,Image 1,1,2,
14966.8,,Surface,4,Image 1,1,3,
15234.3,,Surface,4,Image 1,1,4,
11208.1,,Surface,4,Image 1,1,5,
12550.9,,Surface,4,Image 1,1,6,
5822.34,,Surface,4,Image 1,1,7,
17021.6,,Surface,4,Image 1,1,8,
4455.1,,Surface,4,Image 1,1,9,
16923.2,,Surface,4,Image 1,1,10,
17219.1,,Surface,4,Image 1,1,11,
14921.3,,Surface,4,Image 1,1,12,
9397.25,,Surface,4,Image 1,1,13,
