
Intensity Max Ch=8 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
0,,Surface,8,Image 1,1,0,
15777,,Surface,8,Image 1,1,1,
0,,Surface,8,Image 1,1,2,
13692,,Surface,8,Image 1,1,3,
24726,,Surface,8,Image 1,1,4,
0,,Surface,8,Image 1,1,5,
0,,Surface,8,Image 1,1,6,
0,,Surface,8,Image 1,1,7,
30605,,Surface,8,Image 1,1,8,
36414,,Surface,8,Image 1,1,9,
15090,,Surface,8,Image 1,1,10,
16997,,Surface,8,Image 1,1,11,
0,,Surface,8,Image 1,1,12,
23114,,Surface,8,Image 1,1,13,
62519,,Surface,8,Image 1,1,14,
