
Intensity Mean Ch=3 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
1698.41,,Surface,3,Image 1,1,0,
1797.19,,Surface,3,Image 1,1,1,
2803.54,,Surface,3,Image 1,1,2,
1902.15,,Surface,3,Image 1,1,3,
2182.47,,Surface,3,Image 1,1,4,
2478.83,,Surface,3,Image 1,1,5,
2351.24,,Surface,3,Image 1,1,6,
1941.86,,Surface,3,Image 1,1,7,
2459.16,,Surface,3,Image 1,1,8,
2309.95,,Surface,3,Image 1,1,9,
2315.44,,Surface,3,Image 1,1,10,
2336.37,,Surface,3,Image 1,1,11,
2424.66,,Surface,3,Image 1,1,12,
2620.19,,Surface,3,Image 1,1,13,
2319.46,,Surface,3,Image 1,1,14,
