
Intensity Sum Ch=1 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,ID,
8.79534e+07,,Surface,1,Image 1,1,0,
1.34101e+08,,Surface,1,Image 1,1,1,
2.01148e+08,,Surface,1,Image 1,1,2,
5.45616e+08,,Surface,1,Image 1,1,3,
6.77837e+08,,Surface,1,Image 1,1,4,
1.66574e+08,,Surface,1,Image 1,1,5,
9.28654e+07,,Surface,1,Image 1,1,6,
8.50522e+07,,Surface,1,Image 1,1,7,
1.30021e+09,,Surface,1,Image 1,1,8,
8.45581e+08,,Surface,1,Image 1,1,9,
3.8651e+08,,Surface,1,Image 1,1,10,
2.1745e+09,,Surface,1,Image 1,1,11,
2.24138e+08,,Surface,1,Image 1,1,12,
1.06483e+09,,Surface,1,Image 1,1,13,
1.32604e+09,,Surface,1,Image 1,1,14,
