
Intensity Min Ch=4 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
1332,,Surface,4,Image 1,1,0,
1015,,Surface,4,Image 1,1,1,
795,,Surface,4,Image 1,1,2,
1103,,Surface,4,Image 1,1,3,
1041,,Surface,4,Image 1,1,4,
1194,,Surface,4,Image 1,1,5,
1176,,Surface,4,Image 1,1,6,
1032,,Surface,4,Image 1,1,7,
1105,,Surface,4,Image 1,1,8,
1234,,Surface,4,Image 1,1,9,
558,,Surface,4,Image 1,1,10,
1026,,Surface,4,Image 1,1,11,
1057,,Surface,4,Image 1,1,12,
1034,,Surface,4,Image 1,1,13,
1118,,Surface,4,Image 1,1,14,
