
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
348.296,254.66,12.6374,um,Surface,Position,1,0,
246.223,296.472,9.93712,um,Surface,Position,1,1,
306.943,228.732,6.16434,um,Surface,Position,1,2,
169.134,337.381,11.6394,um,Surface,Position,1,3,
122.107,288.034,7.77604,um,Surface,Position,1,4,
76.6007,322.011,9.93034,um,Surface,Position,1,5,
290.805,75.4196,10.5207,um,Surface,Position,1,6,
151.8,253.682,13.4028,um,Surface,Position,1,7,
20.8045,313.308,8.7443,um,Surface,Position,1,8,
175.031,44.2332,9.91229,um,Surface,Position,1,9,
