
Intensity StdDev Ch=8 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
0,,Surface,8,Image 1,1,0,
0,,Surface,8,Image 1,1,1,
152.681,,Surface,8,Image 1,1,2,
527.108,,Surface,8,Image 1,1,3,
161.295,,Surface,8,Image 1,1,4,
209.047,,Surface,8,Image 1,1,5,
865.156,,Surface,8,Image 1,1,6,
214.299,,Surface,8,Image 1,1,7,
492.694,,Surface,8,Image 1,1,8,
539.189,,Surface,8,Image 1,1,9,
208.781,,Surface,8,Image 1,1,10,
0,,Surface,8,Image 1,1,11,
0,,Surface,8,Image 1,1,12,
