
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,ID,
18.0424,um,Surface,Image 1,1,0,
58.9922,um,Surface,Image 1,1,1,
70.3581,um,Surface,Image 1,1,2,
0,um,Surface,Image 1,1,3,
0,um,Surface,Image 1,1,4,
37.02,um,Surface,Image 1,1,5,
12.8462,um,Surface,Image 1,1,6,
0,um,Surface,Image 1,1,7,
52.6414,um,Surface,Image 1,1,8,
53.0002,um,Surface,Image 1,1,9,
36.7308,um,Surface,Image 1,1,10,
49.1267,um,Surface,Image 1,1,11,
0,um,Surface,Image 1,1,12,
