
Intensity Median Ch=5 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,ID,
5.796,,Surface,5,Image 1,1,0,
3.56,,Surface,5,Image 1,1,1,
11.356,,Surface,5,Image 1,1,2,
344.232,,Surface,5,Image 1,1,3,
10.032,,Surface,5,Image 1,1,4,
8.216,,Surface,5,Image 1,1,5,
1950.92,,Surface,5,Image 1,1,6,
11.28,,Surface,5,Image 1,1,7,
20,,Surface,5,Image 1,1,8,
15.854,,Surface,5,Image 1,1,9,
11.548,,Surface,5,Image 1,1,10,
11.808,,Surface,5,Image 1,1,11,
1316.83,,Surface,5,Image 1,1,12,
