
Area
 ==================== 
Area,Unit,Category,Time,ID,
1314.36,um^2,Surface,1,0,
2363.39,um^2,Surface,1,1,
9818.3,um^2,Surface,1,2,
1599.42,um^2,Surface,1,3,
1328.99,um^2,Surface,1,4,
1548.88,um^2,Surface,1,5,
2485.85,um^2,Surface,1,6,
1008.29,um^2,Surface,1,7,
16113.6,um^2,Surface,1,8,
2127.07,um^2,Surface,1,9,
3564.44,um^2,Surface,1,10,
1622.22,um^2,Surface,1,11,
2196.14,um^2,Surface,1,12,
5163.67,um^2,Surface,1,13,
1354.42,um^2,Surface,1,14,
3929.58,um^2,Surface,1,15,
9895.26,um^2,Surface,1,16,
1061.12,um^2,Surface,1,17,
2127.57,um^2,Surface,1,18,
11698.1,um^2,Surface,1,19,
3077.76,um^2,Surface,1,20,
