
Intensity Min Ch=3 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
354,,Surface,3,Image 1,1,0,
405,,Surface,3,Image 1,1,1,
298,,Surface,3,Image 1,1,2,
669,,Surface,3,Image 1,1,3,
674,,Surface,3,Image 1,1,4,
718,,Surface,3,Image 1,1,5,
760,,Surface,3,Image 1,1,6,
622,,Surface,3,Image 1,1,7,
271,,Surface,3,Image 1,1,8,
590,,Surface,3,Image 1,1,9,
362,,Surface,3,Image 1,1,10,
427,,Surface,3,Image 1,1,11,
586,,Surface,3,Image 1,1,12,
366,,Surface,3,Image 1,1,13,
707,,Surface,3,Image 1,1,14,
558,,Surface,3,Image 1,1,15,
233,,Surface,3,Image 1,1,16,
745,,Surface,3,Image 1,1,17,
545,,Surface,3,Image 1,1,18,
342,,Surface,3,Image 1,1,19,
608,,Surface,3,Image 1,1,20,
