
Ellipticity (prolate)
 ==================== 
Ellipticity (prolate),Unit,Category,Time,ID,
0.219601,,Surface,1,0,
0.170188,,Surface,1,1,
0.0840232,,Surface,1,2,
0.22846,,Surface,1,3,
0.0694113,,Surface,1,4,
0.25223,,Surface,1,5,
0.253898,,Surface,1,6,
0.211404,,Surface,1,7,
0.0804005,,Surface,1,8,
0.23246,,Surface,1,9,
0.0632176,,Surface,1,10,
0.353604,,Surface,1,11,
0.107004,,Surface,1,12,
0.0675515,,Surface,1,13,
0.289112,,Surface,1,14,
0.192662,,Surface,1,15,
0.107313,,Surface,1,16,
0.356907,,Surface,1,17,
0.241714,,Surface,1,18,
0.0510997,,Surface,1,19,
0.0861595,,Surface,1,20,
