
Intensity Min Ch=2 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
53,,Surface,2,Image 1,1,0,
15,,Surface,2,Image 1,1,1,
12,,Surface,2,Image 1,1,2,
135,,Surface,2,Image 1,1,3,
116,,Surface,2,Image 1,1,4,
49,,Surface,2,Image 1,1,5,
69,,Surface,2,Image 1,1,6,
163,,Surface,2,Image 1,1,7,
11,,Surface,2,Image 1,1,8,
81,,Surface,2,Image 1,1,9,
26,,Surface,2,Image 1,1,10,
68,,Surface,2,Image 1,1,11,
81,,Surface,2,Image 1,1,12,
21,,Surface,2,Image 1,1,13,
65,,Surface,2,Image 1,1,14,
22,,Surface,2,Image 1,1,15,
27,,Surface,2,Image 1,1,16,
93,,Surface,2,Image 1,1,17,
1,,Surface,2,Image 1,1,18,
46,,Surface,2,Image 1,1,19,
44,,Surface,2,Image 1,1,20,
