
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,ID,
430.706,um,Surface,Distance from Origin,1,0,
402.974,um,Surface,Distance from Origin,1,1,
401.317,um,Surface,Distance from Origin,1,2,
402.271,um,Surface,Distance from Origin,1,3,
307.07,um,Surface,Distance from Origin,1,4,
314.994,um,Surface,Distance from Origin,1,5,
261.468,um,Surface,Distance from Origin,1,6,
218.877,um,Surface,Distance from Origin,1,7,
281.274,um,Surface,Distance from Origin,1,8,
173.486,um,Surface,Distance from Origin,1,9,
126.53,um,Surface,Distance from Origin,1,10,
245.243,um,Surface,Distance from Origin,1,11,
50.3089,um,Surface,Distance from Origin,1,12,
108.262,um,Surface,Distance from Origin,1,13,
84.9309,um,Surface,Distance from Origin,1,14,
