
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,ID,
20.3223,um,Surface,Image 1,1,0,
32.504,um,Surface,Image 1,1,1,
57.5403,um,Surface,Image 1,1,2,
0,um,Surface,Image 1,1,3,
79.4172,um,Surface,Image 1,1,4,
39.0074,um,Surface,Image 1,1,5,
110.373,um,Surface,Image 1,1,6,
101.318,um,Surface,Image 1,1,7,
0,um,Surface,Image 1,1,8,
67.637,um,Surface,Image 1,1,9,
64.5729,um,Surface,Image 1,1,10,
14.7888,um,Surface,Image 1,1,11,
0,um,Surface,Image 1,1,12,
0,um,Surface,Image 1,1,13,
13.7349,um,Surface,Image 1,1,14,
