
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,ID,
0,um,Surface,Image 1,1,0,
0,um,Surface,Image 1,1,1,
17.2932,um,Surface,Image 1,1,2,
11.2194,um,Surface,Image 1,1,3,
0,um,Surface,Image 1,1,4,
59.1882,um,Surface,Image 1,1,5,
73.8943,um,Surface,Image 1,1,6,
105.49,um,Surface,Image 1,1,7,
20.9991,um,Surface,Image 1,1,8,
31.0741,um,Surface,Image 1,1,9,
0,um,Surface,Image 1,1,10,
64.4441,um,Surface,Image 1,1,11,
86.7568,um,Surface,Image 1,1,12,
132.648,um,Surface,Image 1,1,13,
60.4531,um,Surface,Image 1,1,14,
22.3572,um,Surface,Image 1,1,15,
15.1413,um,Surface,Image 1,1,16,
102.307,um,Surface,Image 1,1,17,
46.4268,um,Surface,Image 1,1,18,
32.6804,um,Surface,Image 1,1,19,
47.9254,um,Surface,Image 1,1,20,
0.877216,um,Surface,Image 1,1,21,
