
Ellipticity (prolate)
 ==================== 
Ellipticity (prolate),Unit,Category,Time,ID,
0.153118,,Surface,1,0,
0.161584,,Surface,1,1,
0.204677,,Surface,1,2,
0.0910773,,Surface,1,3,
0.546443,,Surface,1,4,
0.126159,,Surface,1,5,
0.205992,,Surface,1,6,
0.25309,,Surface,1,7,
0.0908971,,Surface,1,8,
0.292416,,Surface,1,9,
0.190792,,Surface,1,10,
0.122717,,Surface,1,11,
0.0924055,,Surface,1,12,
0.264258,,Surface,1,13,
0.0684686,,Surface,1,14,
0.223529,,Surface,1,15,
0.139366,,Surface,1,16,
0.207484,,Surface,1,17,
0.0871111,,Surface,1,18,
0.0956353,,Surface,1,19,
0.59573,,Surface,1,20,
0.107132,,Surface,1,21,
