
Intensity Min Ch=4 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
3260,,Surface,4,Image 1,1,0,
3473,,Surface,4,Image 1,1,1,
4054,,Surface,4,Image 1,1,2,
3262,,Surface,4,Image 1,1,3,
3605,,Surface,4,Image 1,1,4,
3036,,Surface,4,Image 1,1,5,
3676,,Surface,4,Image 1,1,6,
3976,,Surface,4,Image 1,1,7,
2687,,Surface,4,Image 1,1,8,
3061,,Surface,4,Image 1,1,9,
3215,,Surface,4,Image 1,1,10,
2911,,Surface,4,Image 1,1,11,
3108,,Surface,4,Image 1,1,12,
4038,,Surface,4,Image 1,1,13,
3310,,Surface,4,Image 1,1,14,
3914,,Surface,4,Image 1,1,15,
3763,,Surface,4,Image 1,1,16,
3053,,Surface,4,Image 1,1,17,
3026,,Surface,4,Image 1,1,18,
2966,,Surface,4,Image 1,1,19,
3805,,Surface,4,Image 1,1,20,
3043,,Surface,4,Image 1,1,21,
