
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,ID,
11.2266,um,Surface,Image 1,1,0,
1.27618,um,Surface,Image 1,1,1,
0,um,Surface,Image 1,1,2,
124.725,um,Surface,Image 1,1,3,
0,um,Surface,Image 1,1,4,
66.8647,um,Surface,Image 1,1,5,
22.3061,um,Surface,Image 1,1,6,
125.458,um,Surface,Image 1,1,7,
0,um,Surface,Image 1,1,8,
83.2515,um,Surface,Image 1,1,9,
129.167,um,Surface,Image 1,1,10,
113.525,um,Surface,Image 1,1,11,
39.587,um,Surface,Image 1,1,12,
60.072,um,Surface,Image 1,1,13,
18.2285,um,Surface,Image 1,1,14,
0,um,Surface,Image 1,1,15,
