
Intensity StdDev Ch=2 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
754.911,,Surface,2,Image 1,1,0,
705.385,,Surface,2,Image 1,1,1,
728.691,,Surface,2,Image 1,1,2,
662.271,,Surface,2,Image 1,1,3,
754.959,,Surface,2,Image 1,1,4,
736.858,,Surface,2,Image 1,1,5,
1260.17,,Surface,2,Image 1,1,6,
778.328,,Surface,2,Image 1,1,7,
598.736,,Surface,2,Image 1,1,8,
750.038,,Surface,2,Image 1,1,9,
861.379,,Surface,2,Image 1,1,10,
711.206,,Surface,2,Image 1,1,11,
686.434,,Surface,2,Image 1,1,12,
717.32,,Surface,2,Image 1,1,13,
620.31,,Surface,2,Image 1,1,14,
1523.13,,Surface,2,Image 1,1,15,
