
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
328.689,313.862,8.14643,um,Surface,Position,1,0,
324.656,237.567,10.8603,um,Surface,Position,1,1,
206.628,312.761,12.267,um,Surface,Position,1,2,
217.78,202.106,15.0005,um,Surface,Position,1,3,
86.8783,332.691,11.8717,um,Surface,Position,1,4,
272.965,120.505,8.16476,um,Surface,Position,1,5,
311.74,58.6547,7.12911,um,Surface,Position,1,6,
153.943,194.917,10.8012,um,Surface,Position,1,7,
316.66,16.764,15.1675,um,Surface,Position,1,8,
226.45,119.073,8.28197,um,Surface,Position,1,9,
168.479,140.82,8.00708,um,Surface,Position,1,10,
138.298,146.493,16.5992,um,Surface,Position,1,11,
144.683,53.2251,10.0992,um,Surface,Position,1,12,
75.6953,95.6863,15.4211,um,Surface,Position,1,13,
134.607,27.896,10.7145,um,Surface,Position,1,14,
51.3261,182.303,12.0553,um,Surface,Position,1,15,
