
Intensity Sum Ch=6 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,ID,
4.07208e+07,,Surface,6,Image 1,1,0,
2.44768e+08,,Surface,6,Image 1,1,1,
7.42055e+08,,Surface,6,Image 1,1,2,
2.76173e+07,,Surface,6,Image 1,1,3,
5.33373e+08,,Surface,6,Image 1,1,4,
9.21421e+07,,Surface,6,Image 1,1,5,
2.24853e+07,,Surface,6,Image 1,1,6,
4.98625e+08,,Surface,6,Image 1,1,7,
1.06017e+08,,Surface,6,Image 1,1,8,
1.33829e+08,,Surface,6,Image 1,1,9,
8.19729e+07,,Surface,6,Image 1,1,10,
1.1836e+08,,Surface,6,Image 1,1,11,
3.36106e+07,,Surface,6,Image 1,1,12,
1.19923e+08,,Surface,6,Image 1,1,13,
2.01211e+07,,Surface,6,Image 1,1,14,
1.18519e+09,,Surface,6,Image 1,1,15,
