
Area
 ==================== 
Area,Unit,Category,Time,ID,
1559.95,um^2,Surface,1,0,
22351.3,um^2,Surface,1,1,
839.704,um^2,Surface,1,2,
1435.78,um^2,Surface,1,3,
6933.59,um^2,Surface,1,4,
1091.75,um^2,Surface,1,5,
17776.1,um^2,Surface,1,6,
1981.58,um^2,Surface,1,7,
11768.4,um^2,Surface,1,8,
1039.6,um^2,Surface,1,9,
2437.77,um^2,Surface,1,10,
2079.7,um^2,Surface,1,11,
4248.87,um^2,Surface,1,12,
2445.71,um^2,Surface,1,13,
4080.87,um^2,Surface,1,14,
10827.1,um^2,Surface,1,15,
3888.29,um^2,Surface,1,16,
5977.59,um^2,Surface,1,17,
1334.98,um^2,Surface,1,18,
960.253,um^2,Surface,1,19,
13410.2,um^2,Surface,1,20,
3152.2,um^2,Surface,1,21,
2231.85,um^2,Surface,1,22,
703.26,um^2,Surface,1,23,
1710.76,um^2,Surface,1,24,
