
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,ID,
420.209,um,Surface,Distance from Origin,1,0,
422.892,um,Surface,Distance from Origin,1,1,
363.756,um,Surface,Distance from Origin,1,2,
357,um,Surface,Distance from Origin,1,3,
314.056,um,Surface,Distance from Origin,1,4,
323.873,um,Surface,Distance from Origin,1,5,
340.384,um,Surface,Distance from Origin,1,6,
285.399,um,Surface,Distance from Origin,1,7,
337.169,um,Surface,Distance from Origin,1,8,
283.729,um,Surface,Distance from Origin,1,9,
292.703,um,Surface,Distance from Origin,1,10,
289.168,um,Surface,Distance from Origin,1,11,
350.668,um,Surface,Distance from Origin,1,12,
253.006,um,Surface,Distance from Origin,1,13,
295.301,um,Surface,Distance from Origin,1,14,
250.092,um,Surface,Distance from Origin,1,15,
277.466,um,Surface,Distance from Origin,1,16,
244.492,um,Surface,Distance from Origin,1,17,
172.211,um,Surface,Distance from Origin,1,18,
185.925,um,Surface,Distance from Origin,1,19,
222.133,um,Surface,Distance from Origin,1,20,
175.657,um,Surface,Distance from Origin,1,21,
178.778,um,Surface,Distance from Origin,1,22,
25.2612,um,Surface,Distance from Origin,1,23,
58.8366,um,Surface,Distance from Origin,1,24,
