
Intensity Min Ch=2 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
50,,Surface,2,Image 1,1,0,
12,,Surface,2,Image 1,1,1,
50,,Surface,2,Image 1,1,2,
50,,Surface,2,Image 1,1,3,
24,,Surface,2,Image 1,1,4,
50,,Surface,2,Image 1,1,5,
12,,Surface,2,Image 1,1,6,
38,,Surface,2,Image 1,1,7,
5,,Surface,2,Image 1,1,8,
60,,Surface,2,Image 1,1,9,
26,,Surface,2,Image 1,1,10,
91,,Surface,2,Image 1,1,11,
17,,Surface,2,Image 1,1,12,
71,,Surface,2,Image 1,1,13,
16,,Surface,2,Image 1,1,14,
11,,Surface,2,Image 1,1,15,
17,,Surface,2,Image 1,1,16,
14,,Surface,2,Image 1,1,17,
67,,Surface,2,Image 1,1,18,
41,,Surface,2,Image 1,1,19,
4,,Surface,2,Image 1,1,20,
20,,Surface,2,Image 1,1,21,
50,,Surface,2,Image 1,1,22,
63,,Surface,2,Image 1,1,23,
39,,Surface,2,Image 1,1,24,
