
Intensity Min Ch=3 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
422,,Surface,3,Image 1,1,0,
203,,Surface,3,Image 1,1,1,
363,,Surface,3,Image 1,1,2,
518,,Surface,3,Image 1,1,3,
232,,Surface,3,Image 1,1,4,
314,,Surface,3,Image 1,1,5,
193,,Surface,3,Image 1,1,6,
284,,Surface,3,Image 1,1,7,
44,,Surface,3,Image 1,1,8,
422,,Surface,3,Image 1,1,9,
343,,Surface,3,Image 1,1,10,
408,,Surface,3,Image 1,1,11,
88,,Surface,3,Image 1,1,12,
367,,Surface,3,Image 1,1,13,
135,,Surface,3,Image 1,1,14,
134,,Surface,3,Image 1,1,15,
236,,Surface,3,Image 1,1,16,
167,,Surface,3,Image 1,1,17,
251,,Surface,3,Image 1,1,18,
245,,Surface,3,Image 1,1,19,
155,,Surface,3,Image 1,1,20,
185,,Surface,3,Image 1,1,21,
450,,Surface,3,Image 1,1,22,
270,,Surface,3,Image 1,1,23,
275,,Surface,3,Image 1,1,24,
