
Intensity Mean Ch=6 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
558.183,,Surface,6,Image 1,1,0,
219.35,,Surface,6,Image 1,1,1,
737.178,,Surface,6,Image 1,1,2,
420.53,,Surface,6,Image 1,1,3,
373.615,,Surface,6,Image 1,1,4,
532.477,,Surface,6,Image 1,1,5,
499.313,,Surface,6,Image 1,1,6,
764.933,,Surface,6,Image 1,1,7,
451.379,,Surface,6,Image 1,1,8,
573.462,,Surface,6,Image 1,1,9,
696.866,,Surface,6,Image 1,1,10,
1412.29,,Surface,6,Image 1,1,11,
204.685,,Surface,6,Image 1,1,12,
886.592,,Surface,6,Image 1,1,13,
346.378,,Surface,6,Image 1,1,14,
246.717,,Surface,6,Image 1,1,15,
320.599,,Surface,6,Image 1,1,16,
485.247,,Surface,6,Image 1,1,17,
603.794,,Surface,6,Image 1,1,18,
24.2658,,Surface,6,Image 1,1,19,
265.573,,Surface,6,Image 1,1,20,
881.111,,Surface,6,Image 1,1,21,
961.294,,Surface,6,Image 1,1,22,
1984.37,,Surface,6,Image 1,1,23,
631.894,,Surface,6,Image 1,1,24,
