
Ellipticity (oblate)
 ==================== 
Ellipticity (oblate),Unit,Category,Time,ID,
0.505216,,Surface,1,0,
0.751099,,Surface,1,1,
0.709748,,Surface,1,2,
0.631015,,Surface,1,3,
0.777169,,Surface,1,4,
0.407374,,Surface,1,5,
0.463406,,Surface,1,6,
0.586355,,Surface,1,7,
0.588007,,Surface,1,8,
0.503235,,Surface,1,9,
0.488339,,Surface,1,10,
0.564617,,Surface,1,11,
0.72049,,Surface,1,12,
0.275628,,Surface,1,13,
0.853508,,Surface,1,14,
0.534356,,Surface,1,15,
0.281665,,Surface,1,16,
0.59369,,Surface,1,17,
0.482167,,Surface,1,18,
0.578892,,Surface,1,19,
0.522103,,Surface,1,20,
0.301309,,Surface,1,21,
