
Intensity Min Ch=4 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
2198,,Surface,4,Image 1,1,0,
2135,,Surface,4,Image 1,1,1,
2083,,Surface,4,Image 1,1,2,
1771,,Surface,4,Image 1,1,3,
2000,,Surface,4,Image 1,1,4,
2483,,Surface,4,Image 1,1,5,
2713,,Surface,4,Image 1,1,6,
2127,,Surface,4,Image 1,1,7,
2426,,Surface,4,Image 1,1,8,
2073,,Surface,4,Image 1,1,9,
1587,,Surface,4,Image 1,1,10,
1924,,Surface,4,Image 1,1,11,
1781,,Surface,4,Image 1,1,12,
2475,,Surface,4,Image 1,1,13,
2334,,Surface,4,Image 1,1,14,
2501,,Surface,4,Image 1,1,15,
2246,,Surface,4,Image 1,1,16,
784,,Surface,4,Image 1,1,17,
2126,,Surface,4,Image 1,1,18,
1981,,Surface,4,Image 1,1,19,
2356,,Surface,4,Image 1,1,20,
2346,,Surface,4,Image 1,1,21,
