
Intensity Min Ch=2 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
57,,Surface,2,Image 1,1,0,
81,,Surface,2,Image 1,1,1,
29,,Surface,2,Image 1,1,2,
24,,Surface,2,Image 1,1,3,
34,,Surface,2,Image 1,1,4,
13,,Surface,2,Image 1,1,5,
41,,Surface,2,Image 1,1,6,
29,,Surface,2,Image 1,1,7,
73,,Surface,2,Image 1,1,8,
10,,Surface,2,Image 1,1,9,
32,,Surface,2,Image 1,1,10,
23,,Surface,2,Image 1,1,11,
87,,Surface,2,Image 1,1,12,
79,,Surface,2,Image 1,1,13,
56,,Surface,2,Image 1,1,14,
4,,Surface,2,Image 1,1,15,
70,,Surface,2,Image 1,1,16,
76,,Surface,2,Image 1,1,17,
18,,Surface,2,Image 1,1,18,
24,,Surface,2,Image 1,1,19,
102,,Surface,2,Image 1,1,20,
43,,Surface,2,Image 1,1,21,
