
Area
 ==================== 
Area,Unit,Category,Time,ID,
812.338,um^2,Surface,1,0,
953.639,um^2,Surface,1,1,
5554.71,um^2,Surface,1,2,
967.297,um^2,Surface,1,3,
10917.7,um^2,Surface,1,4,
1153.83,um^2,Surface,1,5,
1039.78,um^2,Surface,1,6,
1992.41,um^2,Surface,1,7,
2047.06,um^2,Surface,1,8,
7155.39,um^2,Surface,1,9,
1042.12,um^2,Surface,1,10,
16744.7,um^2,Surface,1,11,
1297.88,um^2,Surface,1,12,
1472.13,um^2,Surface,1,13,
3409.42,um^2,Surface,1,14,
3142.84,um^2,Surface,1,15,
1883.3,um^2,Surface,1,16,
2421.7,um^2,Surface,1,17,
1263.75,um^2,Surface,1,18,
2814.49,um^2,Surface,1,19,
1094.66,um^2,Surface,1,20,
1791.41,um^2,Surface,1,21,
