
Ellipticity (prolate)
 ==================== 
Ellipticity (prolate),Unit,Category,Time,ID,
0.297734,,Surface,1,0,
0.151278,,Surface,1,1,
0.173149,,Surface,1,2,
0.237444,,Surface,1,3,
0.0782715,,Surface,1,4,
0.380231,,Surface,1,5,
0.396747,,Surface,1,6,
0.218095,,Surface,1,7,
0.277634,,Surface,1,8,
0.249097,,Surface,1,9,
0.350482,,Surface,1,10,
0.0619978,,Surface,1,11,
0.180854,,Surface,1,12,
0.248239,,Surface,1,13,
0.0487057,,Surface,1,14,
0.240488,,Surface,1,15,
0.422259,,Surface,1,16,
0.14436,,Surface,1,17,
0.256049,,Surface,1,18,
0.170283,,Surface,1,19,
0.322325,,Surface,1,20,
0.375822,,Surface,1,21,
