
Shortest Distance to Surfaces Surfaces=Surfaces 2
 ==================== 
Shortest Distance to Surfaces,Unit,Category,Surfaces,Time,ID,
3.74691,,Surface,Surfaces 2,1,0,
7.18643,,Surface,Surfaces 2,1,1,
1.78268,,Surface,Surfaces 2,1,2,
11.3365,,Surface,Surfaces 2,1,3,
0,,Surface,Surfaces 2,1,4,
0,,Surface,Surfaces 2,1,5,
0,,Surface,Surfaces 2,1,6,
0,,Surface,Surfaces 2,1,7,
0,,Surface,Surfaces 2,1,8,
0,,Surface,Surfaces 2,1,9,
3.32257,,Surface,Surfaces 2,1,10,
0,,Surface,Surfaces 2,1,11,
0,,Surface,Surfaces 2,1,12,
0,,Surface,Surfaces 2,1,13,
0,,Surface,Surfaces 2,1,14,
0,,Surface,Surfaces 2,1,15,
1.20189,,Surface,Surfaces 2,1,16,
0.240826,,Surface,Surfaces 2,1,17,
0,,Surface,Surfaces 2,1,18,
0,,Surface,Surfaces 2,1,19,
9.53863,,Surface,Surfaces 2,1,20,
0,,Surface,Surfaces 2,1,21,
0.166227,,Surface,Surfaces 2,1,22,
