
Intensity StdDev Ch=1 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
3653.9,,Surface,1,Image 1,1,0,
4324.01,,Surface,1,Image 1,1,1,
6411.37,,Surface,1,Image 1,1,2,
6519.02,,Surface,1,Image 1,1,3,
3237.82,,Surface,1,Image 1,1,4,
7249.6,,Surface,1,Image 1,1,5,
5394.15,,Surface,1,Image 1,1,6,
4854.68,,Surface,1,Image 1,1,7,
6719.4,,Surface,1,Image 1,1,8,
5441.34,,Surface,1,Image 1,1,9,
4335.16,,Surface,1,Image 1,1,10,
1662.99,,Surface,1,Image 1,1,11,
6234.36,,Surface,1,Image 1,1,12,
6171.54,,Surface,1,Image 1,1,13,
4798.28,,Surface,1,Image 1,1,14,
6885.68,,Surface,1,Image 1,1,15,
5988.04,,Surface,1,Image 1,1,16,
6358.86,,Surface,1,Image 1,1,17,
3301.46,,Surface,1,Image 1,1,18,
3305.89,,Surface,1,Image 1,1,19,
1721.42,,Surface,1,Image 1,1,20,
7355.9,,Surface,1,Image 1,1,21,
4268.65,,Surface,1,Image 1,1,22,
