
Sphericity
 ==================== 
Sphericity,Unit,Category,Time,ID,
0.516368,,Surface,1,0,
0.619224,,Surface,1,1,
0.598458,,Surface,1,2,
0.386335,,Surface,1,3,
0.582678,,Surface,1,4,
0.388232,,Surface,1,5,
0.441979,,Surface,1,6,
0.423951,,Surface,1,7,
0.491401,,Surface,1,8,
0.452155,,Surface,1,9,
0.484642,,Surface,1,10,
0.376103,,Surface,1,11,
0.715878,,Surface,1,12,
0.474035,,Surface,1,13,
0.512887,,Surface,1,14,
0.594526,,Surface,1,15,
0.577197,,Surface,1,16,
0.432464,,Surface,1,17,
0.658427,,Surface,1,18,
0.384935,,Surface,1,19,
0.639507,,Surface,1,20,
0.435827,,Surface,1,21,
0.493765,,Surface,1,22,
