
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,ID,
0.84671,um,Surface,Image 1,1,0,
0,um,Surface,Image 1,1,1,
38.7084,um,Surface,Image 1,1,2,
0,um,Surface,Image 1,1,3,
11.7112,um,Surface,Image 1,1,4,
54.6619,um,Surface,Image 1,1,5,
96.6261,um,Surface,Image 1,1,6,
122.017,um,Surface,Image 1,1,7,
61.7846,um,Surface,Image 1,1,8,
142.135,um,Surface,Image 1,1,9,
0,um,Surface,Image 1,1,10,
0,um,Surface,Image 1,1,11,
75.8314,um,Surface,Image 1,1,12,
19.6889,um,Surface,Image 1,1,13,
0,um,Surface,Image 1,1,14,
48.817,um,Surface,Image 1,1,15,
0,um,Surface,Image 1,1,16,
65.5275,um,Surface,Image 1,1,17,
4.84981,um,Surface,Image 1,1,18,
5.88907,um,Surface,Image 1,1,19,
27.3069,um,Surface,Image 1,1,20,
0,um,Surface,Image 1,1,21,
55.138,um,Surface,Image 1,1,22,
