
Intensity Mean Ch=1 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
3076.68,,Surface,1,Image 1,1,0,
4776.62,,Surface,1,Image 1,1,1,
7126.04,,Surface,1,Image 1,1,2,
5436.98,,Surface,1,Image 1,1,3,
2961.2,,Surface,1,Image 1,1,4,
5642.5,,Surface,1,Image 1,1,5,
3389.21,,Surface,1,Image 1,1,6,
5517.37,,Surface,1,Image 1,1,7,
4871.81,,Surface,1,Image 1,1,8,
3735.9,,Surface,1,Image 1,1,9,
3410.32,,Surface,1,Image 1,1,10,
1679.36,,Surface,1,Image 1,1,11,
5078.2,,Surface,1,Image 1,1,12,
4267.74,,Surface,1,Image 1,1,13,
3300.65,,Surface,1,Image 1,1,14,
4971.11,,Surface,1,Image 1,1,15,
4251.63,,Surface,1,Image 1,1,16,
4510.04,,Surface,1,Image 1,1,17,
2410.02,,Surface,1,Image 1,1,18,
2439.33,,Surface,1,Image 1,1,19,
2554.3,,Surface,1,Image 1,1,20,
5353.84,,Surface,1,Image 1,1,21,
2855.13,,Surface,1,Image 1,1,22,
