
Sphericity
 ==================== 
Sphericity,Unit,Category,Time,ID,
0.349697,,Surface,1,0,
0.506533,,Surface,1,1,
0.417823,,Surface,1,2,
0.372835,,Surface,1,3,
0.613967,,Surface,1,4,
0.468355,,Surface,1,5,
0.475146,,Surface,1,6,
0.592584,,Surface,1,7,
0.569839,,Surface,1,8,
0.500263,,Surface,1,9,
0.541701,,Surface,1,10,
0.537948,,Surface,1,11,
0.319656,,Surface,1,12,
0.686214,,Surface,1,13,
0.446035,,Surface,1,14,
0.280552,,Surface,1,15,
0.637603,,Surface,1,16,
0.373317,,Surface,1,17,
0.304523,,Surface,1,18,
0.708836,,Surface,1,19,
0.504363,,Surface,1,20,
0.537301,,Surface,1,21,
