
Ellipticity (prolate)
 ==================== 
Ellipticity (prolate),Unit,Category,Time,ID,
0.806706,,Surface,1,0,
0.360993,,Surface,1,1,
0.531924,,Surface,1,2,
0.125441,,Surface,1,3,
0.212529,,Surface,1,4,
0.255195,,Surface,1,5,
0.302652,,Surface,1,6,
0.357852,,Surface,1,7,
0.216097,,Surface,1,8,
0.187829,,Surface,1,9,
0.354111,,Surface,1,10,
0.208369,,Surface,1,11,
0.377548,,Surface,1,12,
0.155897,,Surface,1,13,
0.571254,,Surface,1,14,
0.0619982,,Surface,1,15,
0.237637,,Surface,1,16,
0.262687,,Surface,1,17,
0.102445,,Surface,1,18,
0.341608,,Surface,1,19,
0.187359,,Surface,1,20,
0.308782,,Surface,1,21,
