
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,ID,
0,um,Surface,Image 1,1,0,
14.6637,um,Surface,Image 1,1,1,
3.67383,um,Surface,Image 1,1,2,
10.1259,um,Surface,Image 1,1,3,
71.7544,um,Surface,Image 1,1,4,
69.6412,um,Surface,Image 1,1,5,
52.5919,um,Surface,Image 1,1,6,
42.012,um,Surface,Image 1,1,7,
51.8823,um,Surface,Image 1,1,8,
91.3438,um,Surface,Image 1,1,9,
0,um,Surface,Image 1,1,10,
111.793,um,Surface,Image 1,1,11,
132.169,um,Surface,Image 1,1,12,
8.96542,um,Surface,Image 1,1,13,
109.592,um,Surface,Image 1,1,14,
0,um,Surface,Image 1,1,15,
66.9483,um,Surface,Image 1,1,16,
27.7075,um,Surface,Image 1,1,17,
19.6654,um,Surface,Image 1,1,18,
7.68545,um,Surface,Image 1,1,19,
14.9972,um,Surface,Image 1,1,20,
2.76113,um,Surface,Image 1,1,21,
