
Intensity StdDev Ch=8 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
106.538,,Surface,8,Image 1,1,0,
402.853,,Surface,8,Image 1,1,1,
453.488,,Surface,8,Image 1,1,2,
431.834,,Surface,8,Image 1,1,3,
0,,Surface,8,Image 1,1,4,
0,,Surface,8,Image 1,1,5,
131.079,,Surface,8,Image 1,1,6,
80.7946,,Surface,8,Image 1,1,7,
746.155,,Surface,8,Image 1,1,8,
104.105,,Surface,8,Image 1,1,9,
0,,Surface,8,Image 1,1,10,
0,,Surface,8,Image 1,1,11,
613.188,,Surface,8,Image 1,1,12,
638.043,,Surface,8,Image 1,1,13,
486.036,,Surface,8,Image 1,1,14,
454.536,,Surface,8,Image 1,1,15,
231.824,,Surface,8,Image 1,1,16,
0,,Surface,8,Image 1,1,17,
369.263,,Surface,8,Image 1,1,18,
0,,Surface,8,Image 1,1,19,
24.0434,,Surface,8,Image 1,1,20,
0,,Surface,8,Image 1,1,21,
