
Intensity StdDev Ch=8 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
2164.03,,Surface,8,Image 1,1,0,
398.604,,Surface,8,Image 1,1,1,
750.415,,Surface,8,Image 1,1,2,
1368.26,,Surface,8,Image 1,1,3,
5526.74,,Surface,8,Image 1,1,4,
12640.6,,Surface,8,Image 1,1,5,
0,,Surface,8,Image 1,1,6,
875.994,,Surface,8,Image 1,1,7,
1798.81,,Surface,8,Image 1,1,8,
3263.97,,Surface,8,Image 1,1,9,
0,,Surface,8,Image 1,1,10,
0,,Surface,8,Image 1,1,11,
524.09,,Surface,8,Image 1,1,12,
861.215,,Surface,8,Image 1,1,13,
1025.55,,Surface,8,Image 1,1,14,
0,,Surface,8,Image 1,1,15,
2521.12,,Surface,8,Image 1,1,16,
50.5074,,Surface,8,Image 1,1,17,
244.387,,Surface,8,Image 1,1,18,
257.355,,Surface,8,Image 1,1,19,
0,,Surface,8,Image 1,1,20,
0,,Surface,8,Image 1,1,21,
