
Intensity StdDev Ch=5 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
5235.03,,Surface,5,Image 1,1,0,
3205.23,,Surface,5,Image 1,1,1,
3474.73,,Surface,5,Image 1,1,2,
9056.54,,Surface,5,Image 1,1,3,
7412.81,,Surface,5,Image 1,1,4,
4914.21,,Surface,5,Image 1,1,5,
5680.06,,Surface,5,Image 1,1,6,
4163.24,,Surface,5,Image 1,1,7,
8504.57,,Surface,5,Image 1,1,8,
7614.84,,Surface,5,Image 1,1,9,
1743.81,,Surface,5,Image 1,1,10,
3562,,Surface,5,Image 1,1,11,
5621.23,,Surface,5,Image 1,1,12,
4522.26,,Surface,5,Image 1,1,13,
3279,,Surface,5,Image 1,1,14,
4320.75,,Surface,5,Image 1,1,15,
3499.67,,Surface,5,Image 1,1,16,
4558.36,,Surface,5,Image 1,1,17,
5387.96,,Surface,5,Image 1,1,18,
6333.23,,Surface,5,Image 1,1,19,
6508.93,,Surface,5,Image 1,1,20,
4158.6,,Surface,5,Image 1,1,21,
