
Sphericity
 ==================== 
Sphericity,Unit,Category,Time,ID,
0.331155,,Surface,1,0,
0.24295,,Surface,1,1,
0.373299,,Surface,1,2,
0.445332,,Surface,1,3,
0.388821,,Surface,1,4,
0.811532,,Surface,1,5,
0.525371,,Surface,1,6,
0.371845,,Surface,1,7,
0.317754,,Surface,1,8,
0.373902,,Surface,1,9,
0.550936,,Surface,1,10,
0.418831,,Surface,1,11,
0.366436,,Surface,1,12,
0.321071,,Surface,1,13,
0.318574,,Surface,1,14,
0.550094,,Surface,1,15,
0.625615,,Surface,1,16,
0.425683,,Surface,1,17,
0.416994,,Surface,1,18,
0.405428,,Surface,1,19,
0.447577,,Surface,1,20,
0.458433,,Surface,1,21,
