
Ellipticity (oblate)
 ==================== 
Ellipticity (oblate),Unit,Category,Time,ID,
0.708169,,Surface,1,0,
0.870814,,Surface,1,1,
0.770435,,Surface,1,2,
0.411616,,Surface,1,3,
0.837229,,Surface,1,4,
0.3273,,Surface,1,5,
0.519901,,Surface,1,6,
0.728252,,Surface,1,7,
0.773094,,Surface,1,8,
0.647752,,Surface,1,9,
0.484111,,Surface,1,10,
0.756578,,Surface,1,11,
0.511418,,Surface,1,12,
0.680866,,Surface,1,13,
0.465946,,Surface,1,14,
0.584639,,Surface,1,15,
0.585187,,Surface,1,16,
0.727613,,Surface,1,17,
0.808157,,Surface,1,18,
0.68023,,Surface,1,19,
0.731822,,Surface,1,20,
0.405143,,Surface,1,21,
